node_name,process_name,total_start,firststart,laststart,total_fail,firstfail,lastfail,,,,,
fm57-01,Radar-osiris-run,7,2022-12-12 16:32:04.229931,2022-12-12 16:32:23.884639,7,2022-12-12 16:32:05.703218,2022-12-12 16:32:25.422776,1.78025147761218E-05,,0.000228235621762,2022-12-12 16:39:00,0.00456686601683
fm57-02,Radar-osiris-run,6,2022-12-12 16:32:15.104964,2022-12-12 16:32:26.017402,6,2022-12-12 16:32:18.116043,2022-12-12 16:32:27.468252,1.67922407854348E-05,,0.00010824315541,2022-12-12 16:39:01,0.004554765604553
fm57-c04a,GuiDisplay-run,9,2022-12-12 14:07:46.985584,2022-12-12 16:38:22.416870,6,2022-12-12 16:31:07.881019,2022-12-12 16:38:23.542951,1.30333501147106E-05,,0.005042383476393,2022-12-12 16:39:02,0.000445104727987
fm57-c07b,GuiSoundWarnings-run,8,2022-12-12 14:08:01.383875,2022-12-12 16:31:38.722036,6,2022-12-12 16:31:25.991902,2022-12-12 16:31:38.733532,1.33055436890572E-07,,0.00014747257228,2022-12-12 16:39:03,0.005141973007994
fm57-c08b,GuiSoundWarnings-run,9,2022-12-12 14:07:57.204677,2022-12-12 16:31:39.012458,6,2022-12-12 15:50:51.339148,2022-12-12 16:31:39.024932,1.44376826938242E-07,,0.028329696571746,2022-12-12 16:39:04,0.005150174401933
fm57-c03b,GuiSoundWarnings-run,6,2022-12-12 16:31:29.864149,2022-12-12 16:31:43.656708,5,2022-12-12 16:31:30.994136,2022-12-12 16:31:43.665083,9.69303073361516E-08,,0.000146654478158,2022-12-12 16:39:05,0.0051080430203
fm57-c04a,GuiDisplaySec-run,8,2022-12-12 14:07:46.959347,2022-12-12 16:38:20.129954,5,2022-12-12 16:31:08.975569,2022-12-12 16:38:20.168792,4.49508661404252E-07,,0.004990662302589,2022-12-12 16:39:06,0.000530453799001
fm57-c01a,GuiDisplaySec-run,6,2022-12-12 14:07:50.138828,2022-12-12 16:31:25.838350,4,2022-12-12 16:31:17.152524,2022-12-12 16:31:26.971298,1.31128253997304E-05,,0.000113643218356,2022-12-12 16:39:07,0.005324406272848
fm57-c04b,Rms-node-run,6,2022-12-12 14:07:58.319007,2022-12-12 16:38:56.867343,4,2022-12-12 15:50:20.298307,2022-12-12 16:38:56.879265,1.37988536152989E-07,,0.03375672405673,2022-12-12 16:39:08,0.000128712206788
fm57-c06a,GuiDisplaySec-run,6,2022-12-12 14:07:52.291399,2022-12-12 16:31:43.718003,4,2022-12-12 16:31:35.942005,2022-12-12 16:31:44.907256,1.37644965434447E-05,,0.00010376447608,2022-12-12 16:39:09,0.005139962318935
