node_name,process_name,total_start,firststart,laststart,total_fail,firstfail,lastfail
fm57-c02b,durability,1,2022-12-12 23:38:31.999690,2022-12-12 23:38:31.999690,1,2022-12-13 04:33:21.634254,2022-12-13 04:33:21.634254
fm57-c02b,spliced,1,2022-12-12 23:38:31.923194,2022-12-12 23:38:31.923194,1,2022-12-13 04:33:27.303593,2022-12-13 04:33:27.303593
fm57-c02b,ospl,1,2022-12-12 23:38:31.840905,2022-12-12 23:38:31.840905,1,2022-12-13 04:33:27.324108,2022-12-13 04:33:27.324108
fm57-c04b,Rms-node-run,1,2022-12-12 23:38:32.233759,2022-12-12 23:38:32.233759,1,2022-12-13 04:15:44.429861,2022-12-13 04:15:44.429861
fm57-c04b,durability,1,2022-12-12 23:38:32.218654,2022-12-12 23:38:32.218654,1,2022-12-13 04:15:46.759146,2022-12-13 04:15:46.759146
fm57-c04b,ospl,1,2022-12-12 23:38:32.151952,2022-12-12 23:38:32.151952,1,2022-12-13 04:15:53.570501,2022-12-13 04:15:53.570501
fm57-c04b,spliced,1,2022-12-12 23:38:32.188253,2022-12-12 23:38:32.188253,1,2022-12-13 04:15:53.593340,2022-12-13 04:15:53.593340
fm57-c06b,durability,1,2022-12-12 23:38:33.083127,2022-12-12 23:38:33.083127,1,2022-12-13 04:15:48.435187,2022-12-13 04:15:48.435187
fm57-c06b,Rms-node-run,5,2022-12-12 23:38:33.099638,2022-12-13 04:34:43.342638,5,2022-12-13 04:15:44.969822,2022-12-13 04:34:44.503902
fm57-c07b,durability,1,2022-12-12 23:38:33.958153,2022-12-12 23:38:33.958153,1,2022-12-13 04:15:49.718743,2022-12-13 04:15:49.718743
fm57-c07b,ospl,1,2022-12-12 23:38:33.889302,2022-12-12 23:38:33.889302,1,2022-12-13 04:16:20.616388,2022-12-13 04:16:20.616388
fm57-c07b,spliced,1,2022-12-12 23:38:33.925958,2022-12-12 23:38:33.925958,1,2022-12-13 04:16:20.641615,2022-12-13 04:16:20.641615
fm57-c07b,Rms-node-run,3,2022-12-12 23:38:33.972188,2022-12-13 04:25:31.350481,3,2022-12-13 04:15:45.177019,2022-12-13 04:25:32.456817
fm57-c08b,durability,1,2022-12-12 23:38:33.952186,2022-12-12 23:38:33.952186,1,2022-12-13 04:15:47.877847,2022-12-13 04:15:47.877847
fm57-c08b,ospl,1,2022-12-12 23:38:33.859933,2022-12-12 23:38:33.859933,1,2022-12-13 04:15:59.252418,2022-12-13 04:15:59.252418
fm57-c08b,spliced,1,2022-12-12 23:38:33.909524,2022-12-12 23:38:33.909524,1,2022-12-13 04:15:59.272524,2022-12-13 04:15:59.272524
fm57-c08b,Rms-node-run,2,2022-12-12 23:38:33.972442,2022-12-13 04:18:38.081289,2,2022-12-13 04:15:44.417354,2022-12-13 04:18:39.217649
fm57-c09b,durability,1,2022-12-12 23:38:34.894204,2022-12-12 23:38:34.894204,1,2022-12-13 04:16:04.880543,2022-12-13 04:16:04.880543
fm57-c09b,networking,1,2022-12-12 23:38:34.876874,2022-12-12 23:38:34.876874,1,2022-12-13 04:16:41.175621,2022-12-13 04:16:41.175621
fm57-c09b,spliced,1,2022-12-12 23:38:34.859964,2022-12-12 23:38:34.859964,1,2022-12-13 04:16:42.307031,2022-12-13 04:16:42.307031
fm57-c09b,ospl,1,2022-12-12 23:38:34.818550,2022-12-12 23:38:34.818550,1,2022-12-13 04:16:42.319962,2022-12-13 04:16:42.319962
fm57-c09b,Rms-node-run,5,2022-12-12 23:38:34.910072,2022-12-13 04:29:24.791929,5,2022-12-13 04:16:01.420001,2022-12-13 04:29:25.918613
